country,rank,spi,rank_bhn,bhn,rank_fw,fw,rank_opp,opp,
Swaziland,107,50.94,107,53.34,115,57.02,92,42.45,
Benin,108,50.04,109,50.41,108,58.96,103,40.73,
Congo,109,49.6,127,40.67,84,66.56,100,41.58,
Uganda,110,49.49,114,47.91,99,61.54,108,39.02,
Malawi,111,48.95,118,46.42,114,57.31,89,43.12,
Burkina Faso,112,48.82,116,46.56,112,57.79,96,42.11,
Iraq,113,48.35,94,63.11,117,55.29,129,26.67,
Cameroon,114,47.42,112,48.48,111,58.15,114,35.61,
Djibouti,115,47.27,93,64.18,133,44.02,119,33.62,
Tanzania,116,47.14,124,41.39,109,58.23,98,41.79,
Togo,117,46.66,119,45.11,106,59.4,116,35.46,
Mali,118,46.51,112,48.48,122,52.45,109,38.6,
Myanmar,119,46.12,101,58.87,128,49.19,123,30.28,
Mozambique,120,46.02,122,43.13,120,53.49,101,41.43,
Mauritania,121,45.85,115,47.73,107,59.08,122,30.73,
Pakistan,122,45.66,104,56.37,125,50.71,124,29.9,
Liberia,123,44.89,126,41.15,121,53.23,106,40.3,
Madagascar,124,44.5,123,41.93,119,53.53,111,38.04,
Nigeria,125,43.31,130,39.04,100,61.51,125,29.37,
Ethiopia,126,41.04,120,44.04,126,50.49,126,28.59,
Niger,127,40.56,128,40.55,129,48.99,120,32.15,
Yemen,128,40.3,110,49.72,127,50.07,133,21.12,
Angola,129,40,125,41.27,123,52.2,130,26.51,
Guinea,130,39.6,129,40,124,51.2,127,27.59,
Afghanistan,131,35.4,131,37.17,130,46.5,132,22.51,
Chad,132,33.17,132,28.09,132,44.12,128,27.3,
Central African Republic,133,31.42,133,26.81,131,44.84,131,22.62,
